Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.32,71
Assists,0.14,37
Goals + Assists,0.46,57
Non-Penalty Goals,0.32,76
Penalty Kicks Made,0.00,35
Penalty Kicks Attempted,0.00,32
Yellow Cards,0.18,45
Red Cards,0.00,58
xG: Expected Goals,0.35,84
npxG: Non-Penalty xG,0.34,88
xAG: Exp. Assisted Goals,0.17,43
npxG + xAG,0.52,76
,,
Progressive Carries,5.88,94
Progressive Passes,2.27,10
Progressive Passes Rec,9.60,73
Shooting,Shooting,Shooting
Statistic,Per 90,Percentile
Goals,0.32,71
Shots Total,3.40,95
Shots on Target,1.06,82
Shots on Target %,31.3%,28
Goals/Shot,0.09,41
Goals/Shot on Target,0.30,53
Average Shot Distance,15.60,84
Shots from Free Kicks,0.00,21
Penalty Kicks Made,0.00,35
Penalty Kicks Attempted,0.00,32
,,
xG: Expected Goals,0.35,84
npxG: Non-Penalty xG,0.34,88
npxG/Shot,0.10,56
Goals - xG,-0.03,36
Non-Penalty Goals - npxG,-0.02,39
Passing,Passing,Passing
Statistic,Per 90,Percentile
Passes Completed,23.63,29
Passes Attempted,31.11,22
Pass Completion %,76.0%,51
Total Passing Distance,330.66,20
Progressive Passing Distance,47.69,3
,,
Passes Completed (Short),14.49,41
Passes Attempted (Short),17.08,39
Pass Completion % (Short),84.9%,43
,,
Passes Completed (Medium),6.73,22
Passes Attempted (Medium),8.33,10
Pass Completion % (Medium),80.9%,66
,,
Passes Completed (Long),1.31,27
Passes Attempted (Long),2.13,19
Pass Completion % (Long),61.7%,82
Assists,0.14,37
xAG: Exp. Assisted Goals,0.17,43
xA: Expected Assists,0.10,12
Key Passes,1.56,45
Passes into Final Third,0.82,6
Passes into Penalty Area,0.74,7
Crosses into Penalty Area,0.14,22
Progressive Passes,2.27,10
Pass Types,Pass Types,Pass Types
Statistic,Per 90,Percentile
Passes Attempted,31.11,22
,,
Live-ball Passes,30.65,31
Dead-ball Passes,0.35,2
Passes from Free Kicks,0.07,12
Through Balls,0.07,18
Switches,0.18,43
Crosses,1.91,26
Throw-ins Taken,0.18,14
Corner Kicks,0.07,20
,,
Inswinging Corner Kicks,0.00,13
Outswinging Corner Kicks,0.00,16
Straight Corner Kicks,0.00,41
,,
Passes Completed,23.63,29
Passes Offside,0.11,79
Passes Blocked,1.67,18
Goal and Shot Creation,Goal and Shot Creation,Goal and Shot Creation
Statistic,Per 90,Percentile
Shot-Creating Actions,3.97,57
,,
SCA (Live-ball Pass),2.69,59
SCA (Dead-ball Pass),0.00,8
SCA (Take-On),0.39,65
SCA (Shot),0.43,90
SCA (Fouls Drawn),0.43,94
SCA (Defensive Action),0.04,41
,,
Goal-Creating Actions,0.60,80
,,
GCA (Live-ball Pass),0.35,69
GCA (Dead-ball Pass),0.00,28
GCA (Take-On),0.04,57
GCA (Shot),0.07,82
GCA (Fouls Drawn),0.11,94
GCA (Defensive Action),0.04,87
Defense,Defense,Defense
Statistic,Per 90,Percentile
Tackles,0.92,18
Tackles Won,0.64,33
Tackles (Def 3rd),0.32,30
Tackles (Mid 3rd),0.32,15
Tackles (Att 3rd),0.28,45
,,
Dribblers Tackled,0.43,32
Dribbles Challenged,1.59,67
% of Dribblers Tackled,26.7%,13
Challenges Lost,1.17,20
,,
Blocks,1.03,61
Shots Blocked,0.07,58
Passes Blocked,0.96,60
,,
Interceptions,0.78,88
Tkl+Int,1.70,49
Clearances,0.67,71
Errors,0.00,64
Possession,Possession,Possession
Statistic,Per 90,Percentile
Touches,46.56,36
Touches (Def Pen),0.50,25
Touches (Def 3rd),6.48,67
Touches (Mid 3rd),14.95,18
Touches (Att 3rd),25.65,57
Touches (Att Pen),8.57,98
Touches (Live-Ball),46.56,36
,,
Take-Ons Attempted,4.75,68
Successful Take-Ons,1.52,45
Successful Take-On %,32.1%,4
Times Tackled During Take-On,2.66,14
Tackled During Take-On Percentage,56.0%,9
,,
Carries,33.24,49
Total Carrying Distance,274.22,84
Progressive Carrying Distance,141.02,80
,,
Progressive Carries,5.88,94
Carries into Final Third,2.91,75
Carries into Penalty Area,3.37,96
Miscontrols,2.55,31
Dispossessed,1.70,26
,,
Passes Received,35.11,47
Progressive Passes Rec,9.60,73
Miscellaneous Stats,Miscellaneous Stats,Miscellaneous Stats
Statistic,Per 90,Percentile
Yellow Cards,0.18,45
Red Cards,0.00,58
Second Yellow Card,0.00,54
Fouls Committed,0.85,66
Fouls Drawn,2.20,80
Offsides,0.50,17
Crosses,1.91,26
,,
Interceptions,0.78,88
Tackles Won,0.64,33
Penalty Kicks Won,0.07,90
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,4.29,47
,,
Aerials Won,0.25,20
Aerials Lost,0.96,43
% of Aerials Won,20.6%,11
